scraped_at,event_id,url,name,date,date_formatted,city,state,country,fights
2026-02-19 21:43:16 UTC,4f9359b3-e2ff-555f-9224-ec0c87e52af5,http://www.ufcstats.com/event-details/8fa2b06572365321,UFC Fight Night: Grasso vs. Shevchenko 2,"September 16, 2023",2023-09-16,Las Vegas,Nevada,USA,"45dd4d4f-4b31-5bdc-ae47-e6f1cc318b2c, 45dd4d4f-4b31-5bdc-ae47-e6f1cc318b2c, 15363bfd-e6a2-5131-8109-034e87896855, 5418df95-5757-59c9-b279-ce2b5cfeb6e0, 147bf552-fd30-581e-8a5b-137c7d052063, 67d7deae-b4ea-58cf-aa34-1c6daa77f953, 14b717a7-c460-57e6-84a5-0d28bd4a0320, b10f2615-0c02-59dd-9667-3478e99f2f42, 9883d46d-f8b4-59a2-991c-52241a4add68, 9883d46d-f8b4-59a2-991c-52241a4add68, 995489ea-e334-5ed8-ba6f-8159ced776b1, bee75bea-3bb8-576b-9bfe-5bb3646cd66f, b20dee5f-75e0-5752-9c49-25f3590add8a"
2026-02-19 21:43:17 UTC,8ecfa402-07eb-5458-a595-b8952763b6cb,http://www.ufcstats.com/event-details/c945adc22c2bfe8f,UFC Fight Night: Fiziev vs. Gamrot,"September 23, 2023",2023-09-23,Las Vegas,Nevada,USA,"3de85b6c-8235-5a7e-969f-a950a66deecc, 2c7b7d79-4982-5e9e-9e6b-d2877935bb23, e593a7f4-8c7d-564f-b227-b8391a4c9a17, 4925370a-a59c-5ba3-b6e2-eea9e0b6aecc, 0ebd7a62-f495-5163-bec8-a89933a03154, 85d1732d-3b93-512f-9c8e-6304a7a0aa4f, 85d1732d-3b93-512f-9c8e-6304a7a0aa4f, bc18ebf6-445e-5891-92ee-15f15b77c565, b225dedf-451f-5043-a336-d13ddf61c2b0, af679115-74c2-56e9-991e-2a6ac90f365d, a4a2bf3e-aa5e-5e2c-b3d8-354897748ec6, b3c7141c-91c2-50b8-985a-39a39ac6a0fc"
2026-02-19 21:43:18 UTC,21f5f88f-bd08-5f32-a09c-cadbe1059ccb,http://www.ufcstats.com/event-details/c8a49ff2acb6f3c5,UFC Fight Night: Dawson vs. Green,"October 07, 2023",2023-10-07,Las Vegas,Nevada,USA,"2b89d77c-374a-58fe-bd8a-2102e270720f, 77729d99-29c6-5757-9c4b-dd71a224d99b, 882cff40-309d-5df4-9907-f95d3b82d978, 1f018c5b-3f85-5d2e-acc7-9cd2f5874023, 6f9aba22-81b1-55f2-b4e5-8d1e8973eb91, 616680ff-1e71-5487-9cd3-a1c0d23a916d, b66b5d49-4435-544c-a4ed-d91b6ee36d91, e0cb1472-7147-5b32-ab20-e6e8e1a5aab0, cc86cedf-48cb-5eb2-a4bc-5c3df8b4cab9, 6541100f-7824-5cc4-989a-42e234c065f6"
2026-02-19 21:43:20 UTC,4144d02f-59ef-57d1-a015-88fdc8b41f20,http://www.ufcstats.com/event-details/f3a078277b3b8ff4,UFC Fight Night: Yusuff vs. Barboza,"October 14, 2023",2023-10-14,Las Vegas,Nevada,USA,"f2d1d366-8af7-5de6-a869-c28669a1bd88, f02ac91a-33da-5df8-a743-7e6a1d36ac8c, a3d2910c-a659-582a-8cc7-778e9b7cb20c, 483c8fa6-75f3-5b87-a590-be1fd79ed088, 42609b90-a419-5468-96c0-5a033e9f2ec1, eeecde3e-7daa-54d1-9048-5dcce3ff6c79, f72dd032-34f9-5541-a869-d02f4d2975a3, 39164828-1197-5d1f-b0d0-063efbe4e5f7, d47fe2b7-80e6-5e81-9c75-ed19ba504b7f, e7e68b61-2f3f-585b-bdfe-6d91c5da38db, 63e371a0-4a29-56df-8dbe-aac3698b1405"
2026-02-19 21:43:21 UTC,fe8adca7-2b52-59f0-b309-dc011736bc9c,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,UFC 294: Makhachev vs. Volkanovski 2,"October 21, 2023",2023-10-21,Abu Dhabi,Abu Dhabi,United Arab Emirates,"9ffd4fe0-166f-5b30-958b-024efc7a48f7, 5795ad13-9f86-5f0e-8a77-0f2f5a15d8e4, c9db5c3b-842f-51e2-a040-0ebc73e236a3, c9db5c3b-842f-51e2-a040-0ebc73e236a3, 122996c9-1947-5477-aa7a-aa51c905c37e, 1eae970c-37d5-5510-b4d0-fb3674776ca6, 041f9c2c-6836-587f-988b-958bedc7f6a6, 130b7e25-93bd-55f9-8c86-f17ac6984273, 10adb412-1fbc-532d-a6f6-271e0618e2da, 10adb412-1fbc-532d-a6f6-271e0618e2da, 60cf5cb5-3210-51f7-8c65-df70978215e0, b3da1fb7-7d56-5908-b320-8ed842887d12, 82316273-eddd-5bcc-901f-49d2903fc2f8, 9ecbc4d2-54ff-5e6b-b053-31c9675a759f, 18108080-c796-514a-89ac-e6e3e35a4683"
2026-02-19 21:43:23 UTC,210fb4a0-16c1-543c-bdbc-4284e8a0ac81,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,UFC Fight Night: Almeida vs. Lewis,"November 04, 2023",2023-11-04,Sao Paulo,Sao Paulo,Brazil,"2e84fb53-282c-56d7-84b2-04057d4cb200, 6b9958d2-2bd5-5dae-b48a-7fcd4639b4ba, 023fc6d7-5d63-5f44-aaab-ed4e477b4e63, 32e14a74-45e4-572f-9b4d-49f4313b59d0, 912b5e1e-d979-5afb-9f6a-e54a0e408fc3, b1da971d-1af8-5b60-86b6-762914ffd3ea, b1da971d-1af8-5b60-86b6-762914ffd3ea, b930d8c1-8809-5459-ab3a-1d5b7cd1c7d4, dd2aad52-7156-517d-9d3b-4d5c8fdab62c, 484792dc-4244-51d4-bdfc-20df0a164223, 5fb5a9ff-f4de-5660-bb54-678e109c6f32"
2026-02-19 21:43:24 UTC,c0e6dde8-4bc4-5349-9a30-cc0c986f734d,http://www.ufcstats.com/event-details/5a558ba1ff5e9121,UFC 295: Prochazka vs. Pereira,"November 11, 2023",2023-11-11,New York City,New York,USA,"ba68f87d-b371-5dae-bfcc-ad9cd2008211, dd5a89a9-12b0-5726-8e17-ccd5dac066ec, c268d4c6-579a-5df1-8217-e22298dfb211, 2641d7c6-bb13-591e-b711-fd398dc4602f, bf42615c-71bf-5f51-8445-7532d9363cef, 730be859-b563-5df2-b6e9-20c90a00e1f9, 324051d0-2b43-5191-b3c7-a10e1a699f5b, 7e32acb3-39a0-5bb3-91d2-dd3fde30b983, aa48e69e-8403-5ffa-85c6-85af37f08b3b, aa48e69e-8403-5ffa-85c6-85af37f08b3b, 430db4e5-7141-5e51-9dda-b173efb364c0, 97c286e8-1c5b-5391-937b-d52fae6f9080, 3b0b49ff-9025-5fe0-915f-69cc6f529ab2, b8fe4b1b-5cf6-5de7-a867-b2859634f45d"
2026-02-19 21:43:25 UTC,5368f3a1-cf20-5716-b503-1dcfbb75d557,http://www.ufcstats.com/event-details/3feed7d02711d8b7,UFC Fight Night: Allen vs. Craig,"November 18, 2023",2023-11-18,Las Vegas,Nevada,USA,"d605ddb5-3f1a-50c4-a7bb-fca401688719, 264a2607-1c08-5d14-81b0-7cd58cff80b5, 272abdcc-b295-503f-94cd-ee37635b7ed1, 4c0c8fc9-1d95-5c40-9e55-38fd07bd3136, 4737f2a5-c270-59a8-808c-a6d369816ef2, 01e69ec1-0444-5449-b387-d867c92b6c3d, 45585fd8-a737-59be-b52d-f35e0e40d8be, 462c5ea3-3034-5089-abf1-3be40df7c0a0, f1641fbf-0893-5014-89c4-f90b966ca7a9, 89929274-e28d-5866-ae60-d53d877a25f2, 3f31b2fe-7e00-5505-9ee0-c49969628aac, 06c0a711-3d4d-55c5-88d7-9e28f1912afd, bcd713d9-afe7-5291-8181-d86a81cc7a2f, bcd713d9-afe7-5291-8181-d86a81cc7a2f, 968326e7-d62f-540f-8dc5-5388fa4af43a"
2026-02-19 21:43:27 UTC,5f8988d9-8ed8-5c5e-a387-a344cbb17330,http://www.ufcstats.com/event-details/53e4e21f4c688801,UFC Fight Night: Dariush vs. Tsarukyan,"December 02, 2023",2023-12-02,Austin,Texas,USA,"12f8fdfd-1647-5243-b2fe-0f2b195289aa, 7b933219-3277-5e82-8471-9cbf3073cf81, 95c6252e-f3be-5caa-86d7-786144a247dd, dc1c0b7a-3a3a-5832-a805-a2b4ee97470a, 1006de5f-cee5-563b-9f09-c3cdc782ac2a, 9f8525f3-b6d8-5081-8bc1-a9f49ea6f539, 239f969f-31b8-5581-b798-ab1b85aa44aa, f968d55f-8039-5a39-9ede-b20140f5c47a, 33d8c47c-544f-5892-83fc-6525f0d5cb93, 8ffdab36-3ce7-5ab4-8f11-9ae85b24f4a5, a826ab49-b703-5077-81c9-51611f465634, b0ce19a8-2b52-54ee-8674-36a9e6a04937"
2026-02-19 21:43:28 UTC,3e154072-1f2f-5dbf-8d88-2774009cb2c8,http://www.ufcstats.com/event-details/5ef0088c1b19beeb,UFC Fight Night: Song vs. Gutierrez,"December 09, 2023",2023-12-09,Las Vegas,Nevada,USA,"c0d1a8ad-516d-5d55-89f4-c043aa23f00b, 497d8549-b30a-52fa-aa5c-98a0782b2b2f, 10b4f29a-135f-5614-82a8-51ccd8e8c810, 3f365630-2144-5a5b-922c-f6a6eae85acc, 8d9cb89b-6c07-5f29-a4b6-36b9e5ecb2e2, 4a3d4708-aaae-5cc6-b341-64180f82628c, 31b6d559-739b-5288-9c3f-a2848084e126, d82f4cfd-afa9-58fb-9ace-b6622e0b91c9, 97120f94-5ef7-5d3d-8deb-ffbb904931b8, c85180a1-8fdc-5d16-88c1-fdb0c90e04f5, 74dfb0b5-3272-5569-8a68-b6346cd1c1c7"
