scraped_at,fight_stat_id,fight_id,fighter_id,url,total_strikes_landed,total_strikes_attempted,significant_strikes_landed,significant_strikes_attempted,significant_strikes_landed_head,significant_strikes_attempted_head,significant_strikes_landed_body,significant_strikes_attempted_body,significant_strikes_landed_leg,significant_strikes_attempted_leg,significant_strikes_landed_distance,significant_strikes_attempted_distance,significant_strikes_landed_clinch,significant_strikes_attempted_clinch,significant_strikes_landed_ground,significant_strikes_attempted_ground,knockdowns,takedowns_landed,takedowns_attempted,control_time_minutes,control_time_seconds,submissions_attempted,reversals
2026-02-21 08:13:03 UTC,d0958472-6af1-532c-a58d-56dded8d1fdd,b20dee5f-75e0-5752-9c49-25f3590add8a,405205df-b692-5d68-8d29-08c29eb6d8b1,http://www.ufcstats.com/fight-details/11318a7807cee8ca,147,206,81,128,53,97,20,23,8,8,38,69,8,11,35,48,0,3,4,10,49,0,0
2026-02-21 08:13:03 UTC,ffbd6467-9e55-5238-a042-f437b3d897cd,b20dee5f-75e0-5752-9c49-25f3590add8a,cb036630-05c2-55f9-be72-0ebc4452359e,http://www.ufcstats.com/fight-details/11318a7807cee8ca,39,64,8,29,6,20,0,6,2,3,8,29,0,0,0,0,0,0,2,0,33,0,0
2026-02-21 08:13:04 UTC,9c8c0a5a-2617-5b63-99ac-5d3788487a44,b3c7141c-91c2-50b8-985a-39a39ac6a0fc,b34ae37e-1131-51e2-bfed-3fc2ff94a254,http://www.ufcstats.com/fight-details/0732e6b6eb0a607d,78,131,60,109,17,59,3,3,40,47,60,108,0,1,0,0,0,0,3,0,54,1,0
2026-02-21 08:13:04 UTC,ce5c0b79-f446-529a-b380-ba0c83bcece6,b3c7141c-91c2-50b8-985a-39a39ac6a0fc,3c650376-51b8-54db-8cb3-218b26918b1c,http://www.ufcstats.com/fight-details/0732e6b6eb0a607d,112,240,69,182,45,148,11,18,13,16,55,151,1,2,13,29,0,3,5,4,51,0,0
2026-02-21 08:13:05 UTC,b31744ee-b790-528c-8b91-51e71f289802,6541100f-7824-5cc4-989a-42e234c065f6,78c9a511-6f94-5f94-a825-473192ee69e3,http://www.ufcstats.com/fight-details/cc4fcfede19bc196,70,209,67,204,41,172,13,16,13,16,59,184,8,20,0,0,0,0,1,0,0,0,0
2026-02-21 08:13:05 UTC,cf7a5bda-7b96-56f0-b1a2-0ee90ae0e1e3,6541100f-7824-5cc4-989a-42e234c065f6,d5bcc400-1657-5c30-867b-977a1f11a28d,http://www.ufcstats.com/fight-details/cc4fcfede19bc196,66,136,65,135,55,122,9,11,1,2,58,124,7,11,0,0,0,0,0,0,22,0,0
2026-02-21 08:13:07 UTC,033912af-58bb-585e-b977-d1282fe88bea,63e371a0-4a29-56df-8dbe-aac3698b1405,8fa64d16-d039-532a-b409-c43efad7a4bc,http://www.ufcstats.com/fight-details/85a130a4b655c8f5,105,276,102,269,59,216,32,40,11,13,93,259,9,10,0,0,0,0,3,0,9,0,0
2026-02-21 08:13:07 UTC,fe533d3e-021c-53a0-9a48-29f0f033a24b,63e371a0-4a29-56df-8dbe-aac3698b1405,3c91926b-b578-5096-8574-d65f45fe87a6,http://www.ufcstats.com/fight-details/85a130a4b655c8f5,119,213,117,210,69,145,29,40,19,25,117,209,0,1,0,0,0,1,1,0,3,0,0
2026-02-21 08:13:08 UTC,928d052c-6888-53fc-8d93-8135c3f2e0d7,18108080-c796-514a-89ac-e6e3e35a4683,888419b4-35f1-5832-b9ce-f00f995d8aa7,http://www.ufcstats.com/fight-details/539732694ab2c8d6,222,274,113,154,56,92,22,24,35,38,74,106,15,21,24,27,0,0,0,0,0,0,0
2026-02-21 08:13:08 UTC,d32d5c8d-35c3-5033-8ea2-220f3e5fa79d,18108080-c796-514a-89ac-e6e3e35a4683,4ac6d2c8-56c8-52b1-88f9-ebe5451f8184,http://www.ufcstats.com/fight-details/539732694ab2c8d6,107,138,65,91,51,76,6,7,8,8,35,56,5,5,25,30,0,3,7,6,44,0,0
2026-02-21 08:13:09 UTC,a253f685-26fc-56bd-95d1-d56cfda75f98,5fb5a9ff-f4de-5660-bb54-678e109c6f32,62d1b828-2d07-5629-a3bc-a588fe340b11,http://www.ufcstats.com/fight-details/3c69bed42893da75,67,92,23,42,6,20,8,13,9,9,21,38,2,4,0,0,0,1,1,1,27,0,0
2026-02-21 08:13:09 UTC,c08d3558-07fb-594c-aef9-d85365c2b7ae,5fb5a9ff-f4de-5660-bb54-678e109c6f32,6c20777a-f381-5bb1-95a4-89087b825136,http://www.ufcstats.com/fight-details/3c69bed42893da75,65,92,13,32,11,26,2,5,0,1,7,18,2,4,4,10,0,3,8,8,38,0,1
2026-02-21 08:13:11 UTC,4fe793ba-aedf-5c8f-b413-5909f58b92e8,b8fe4b1b-5cf6-5de7-a867-b2859634f45d,48418d48-8e51-5df2-93fc-21bd6027db85,http://www.ufcstats.com/fight-details/1cf69de0eea46877,3,7,3,7,0,4,1,1,2,2,3,7,0,0,0,0,0,0,0,0,0,0,0
2026-02-21 08:13:11 UTC,1aeb17f3-6933-5f25-8a97-d59468cf0a3e,b8fe4b1b-5cf6-5de7-a867-b2859634f45d,4beefb63-0564-5199-8b9c-d63415f1ec7c,http://www.ufcstats.com/fight-details/1cf69de0eea46877,14,20,14,20,8,12,2,4,4,4,10,14,0,0,4,6,1,0,0,0,3,0,0
2026-02-21 08:13:11 UTC,8deaecf0-5349-5840-be6c-7297e656131f,968326e7-d62f-540f-8dc5-5388fa4af43a,509c9337-d525-53bc-a27f-5cd6937d5795,http://www.ufcstats.com/fight-details/9abf0b60a44a82d1,116,161,72,109,38,69,27,33,7,7,53,80,18,26,1,3,0,0,0,0,43,0,1
2026-02-21 08:13:11 UTC,3cd77f17-4d63-52fa-a75e-a67743c2fd00,968326e7-d62f-540f-8dc5-5388fa4af43a,8568b8f1-c860-58c9-8663-63fe682a6c99,http://www.ufcstats.com/fight-details/9abf0b60a44a82d1,35,77,18,43,10,28,6,12,2,3,11,31,3,5,4,7,0,3,22,9,23,1,0
2026-02-21 08:13:12 UTC,be5d1771-3b92-5db7-bbc0-3719e477f2ef,b0ce19a8-2b52-54ee-8674-36a9e6a04937,a1d2b2d2-0287-5a5e-890b-b1a8a46aee12,http://www.ufcstats.com/fight-details/d0ac2cc5c57c4e66,61,122,43,101,29,86,11,11,3,4,30,81,13,20,0,0,0,1,2,1,34,0,0
2026-02-21 08:13:12 UTC,b1c194bc-629d-51f7-96c2-a7f8b2d36633,b0ce19a8-2b52-54ee-8674-36a9e6a04937,1b8d08d2-5e00-5263-b4bd-37b41ad773a7,http://www.ufcstats.com/fight-details/d0ac2cc5c57c4e66,74,125,43,87,16,49,20,26,7,12,23,59,20,28,0,0,0,1,3,3,59,0,0
2026-02-21 08:13:13 UTC,871525a9-3887-5ed1-8110-99b08ad36274,74dfb0b5-3272-5569-8a68-b6346cd1c1c7,c79b5dc6-b48c-5112-af56-5296ab988a2c,http://www.ufcstats.com/fight-details/acde7c89bd724af8,80,156,57,130,41,104,11,17,5,9,45,117,11,12,1,1,0,0,1,0,14,0,0
2026-02-21 08:13:13 UTC,08216524-db88-5320-b735-335ec7b0c76e,74dfb0b5-3272-5569-8a68-b6346cd1c1c7,5526f2c2-b2a1-5626-8f9d-b7221830cddb,http://www.ufcstats.com/fight-details/acde7c89bd724af8,48,176,36,157,21,125,12,25,3,7,21,133,8,12,7,12,0,1,9,2,44,0,0
2026-02-21 08:13:14 UTC,d60cadcc-1c32-5666-b99f-3da2e2278538,6b28129a-e49f-50e4-8a84-b6c4b97fd826,87e8a7ad-42a5-543a-8c30-f10db4315e8b,http://www.ufcstats.com/fight-details/fce6522f42b48f18,13,26,8,20,8,19,0,1,0,0,8,17,0,3,0,0,0,0,2,0,20,0,0
2026-02-21 08:13:14 UTC,e56d5a6f-cb02-5c21-b9f2-9d7c3cdfe181,6b28129a-e49f-50e4-8a84-b6c4b97fd826,a4e4beff-909b-546f-96c4-0300e4997331,http://www.ufcstats.com/fight-details/fce6522f42b48f18,60,114,49,98,35,79,14,19,0,0,35,73,5,10,9,15,0,0,0,2,18,0,0
