event_id,event_url,event_name,event_date,event_status,fight_urls,discovered_at,last_seen_at
fe8adca7-2b52-59f0-b309-dc011736bc9c,http://www.ufcstats.com/event-details/13a0fb8fbdafb54f,UFC 294: Makhachev vs. Volkanovski 2,2023-10-21,completed,"http://www.ufcstats.com/fight-details/0ea435ddf02deb60, http://www.ufcstats.com/fight-details/f23e9729b2b73c27, http://www.ufcstats.com/fight-details/821960adf5bfa15c, http://www.ufcstats.com/fight-details/7024385b5107bd4b, http://www.ufcstats.com/fight-details/ed3334d108b257a6, http://www.ufcstats.com/fight-details/e9256316716499b8, http://www.ufcstats.com/fight-details/3c6fb6bf9b7afd40, http://www.ufcstats.com/fight-details/0d1af8c6a5793185, http://www.ufcstats.com/fight-details/43de9ff6064361e1, http://www.ufcstats.com/fight-details/75c5f923f966b53b, http://www.ufcstats.com/fight-details/b84c447bb74febe2, http://www.ufcstats.com/fight-details/18e5af00a8478a0e, http://www.ufcstats.com/fight-details/539732694ab2c8d6",2026-03-18T21:59:30Z,2026-08-08T18:42:46Z
210fb4a0-16c1-543c-bdbc-4284e8a0ac81,http://www.ufcstats.com/event-details/7c4ec656d8fcb867,UFC Fight Night: Almeida vs. Lewis,2023-11-04,completed,"http://www.ufcstats.com/fight-details/ac37849f627a79c4, http://www.ufcstats.com/fight-details/3a81276a9641c6a1, http://www.ufcstats.com/fight-details/119bc264e2bb9877, http://www.ufcstats.com/fight-details/7d474fbf31894108, http://www.ufcstats.com/fight-details/ff8f92cf8fb1b76c, http://www.ufcstats.com/fight-details/b5ea6535748edbce, http://www.ufcstats.com/fight-details/6532b71560ae39e0, http://www.ufcstats.com/fight-details/7df5998eca143c04, http://www.ufcstats.com/fight-details/9e2bb8d5961b44d4, http://www.ufcstats.com/fight-details/3c69bed42893da75",2026-03-18T21:59:32Z,2026-08-08T18:42:48Z
c0e6dde8-4bc4-5349-9a30-cc0c986f734d,http://www.ufcstats.com/event-details/5a558ba1ff5e9121,UFC 295: Prochazka vs. Pereira,2023-11-11,completed,"http://www.ufcstats.com/fight-details/b1f2ec122beda7a5, http://www.ufcstats.com/fight-details/db49619221b282af, http://www.ufcstats.com/fight-details/6fd67582d8adb1c7, http://www.ufcstats.com/fight-details/9fe98de1eac21f2e, http://www.ufcstats.com/fight-details/128ab9aa4802c73f, http://www.ufcstats.com/fight-details/5704e73f91b9e7f7, http://www.ufcstats.com/fight-details/a0362d60d2e1db0d, http://www.ufcstats.com/fight-details/480c4dbd2e792d86, http://www.ufcstats.com/fight-details/83a0fff04494bfc4, http://www.ufcstats.com/fight-details/4c025d1fff9e9fce, http://www.ufcstats.com/fight-details/57333b7bff20ece0, http://www.ufcstats.com/fight-details/8a0fc4624578a7e4, http://www.ufcstats.com/fight-details/1cf69de0eea46877",2026-03-18T21:59:33Z,2026-08-08T18:42:49Z
5368f3a1-cf20-5716-b503-1dcfbb75d557,http://www.ufcstats.com/event-details/3feed7d02711d8b7,UFC Fight Night: Allen vs. Craig,2023-11-18,completed,"http://www.ufcstats.com/fight-details/7990b6716a53b2cd, http://www.ufcstats.com/fight-details/73ebbfb998edc1f1, http://www.ufcstats.com/fight-details/5be63144ac46f97e, http://www.ufcstats.com/fight-details/2ae243f518948794, http://www.ufcstats.com/fight-details/bd4d2522cb0d1a23, http://www.ufcstats.com/fight-details/b210b99d9c1c9196, http://www.ufcstats.com/fight-details/62b64802ea49e2fd, http://www.ufcstats.com/fight-details/c1aef0f60a5b62e3, http://www.ufcstats.com/fight-details/16109688429c09de, http://www.ufcstats.com/fight-details/36f10b949b935b8c, http://www.ufcstats.com/fight-details/f0fe73e650b746f2, http://www.ufcstats.com/fight-details/6997693d552600dd, http://www.ufcstats.com/fight-details/6e5a3d6b6ed84ac3, http://www.ufcstats.com/fight-details/9abf0b60a44a82d1",2026-03-18T21:59:34Z,2026-08-08T18:42:50Z
5f8988d9-8ed8-5c5e-a387-a344cbb17330,http://www.ufcstats.com/event-details/53e4e21f4c688801,UFC Fight Night: Dariush vs. Tsarukyan,2023-12-02,completed,"http://www.ufcstats.com/fight-details/9feb9500b0fedfcd, http://www.ufcstats.com/fight-details/03eecf1926d9c77c, http://www.ufcstats.com/fight-details/246d06693b5ca1e8, http://www.ufcstats.com/fight-details/39c4ae4624052f9f, http://www.ufcstats.com/fight-details/20bfa549cb2cabe7, http://www.ufcstats.com/fight-details/02713b2d25f74d43, http://www.ufcstats.com/fight-details/626c82ed45fdcf59, http://www.ufcstats.com/fight-details/0320a6a967069571, http://www.ufcstats.com/fight-details/d0602cdc04d2c159, http://www.ufcstats.com/fight-details/0dc2fc8d39e226a3, http://www.ufcstats.com/fight-details/32813f5f46f045e8, http://www.ufcstats.com/fight-details/d0ac2cc5c57c4e66",2026-03-18T21:59:36Z,2026-08-08T18:42:52Z
3e154072-1f2f-5dbf-8d88-2774009cb2c8,http://www.ufcstats.com/event-details/5ef0088c1b19beeb,UFC Fight Night: Song vs. Gutierrez,2023-12-09,completed,"http://www.ufcstats.com/fight-details/f9ec8bedc15ece93, http://www.ufcstats.com/fight-details/91093a019d32af2e, http://www.ufcstats.com/fight-details/acc57a9c114b694a, http://www.ufcstats.com/fight-details/fbedeb4e4b019b94, http://www.ufcstats.com/fight-details/1afc4f372a125c74, http://www.ufcstats.com/fight-details/3adab28c5c6a9254, http://www.ufcstats.com/fight-details/35addc4646509286, http://www.ufcstats.com/fight-details/5ac1725f775c6f00, http://www.ufcstats.com/fight-details/5a6e894e4b6cc703, http://www.ufcstats.com/fight-details/84f6de7c99779e5f, http://www.ufcstats.com/fight-details/acde7c89bd724af8",2026-03-18T21:59:38Z,2026-08-08T18:42:53Z
634bc37b-dbe6-56c9-8c1a-fc486cb638c0,http://www.ufcstats.com/event-details/a8e8587a06e73c87,UFC 296: Edwards vs. Covington,2023-12-16,completed,"http://www.ufcstats.com/fight-details/3fa8ee3fdc04fe36, http://www.ufcstats.com/fight-details/4896b36f1333d25c, http://www.ufcstats.com/fight-details/1efc813ccd7a5aba, http://www.ufcstats.com/fight-details/ac8628d945a78b03, http://www.ufcstats.com/fight-details/3b21a9f48bac4a44, http://www.ufcstats.com/fight-details/521a0e016878d174, http://www.ufcstats.com/fight-details/609d994bfe440ec3, http://www.ufcstats.com/fight-details/f8a8871d167fc929, http://www.ufcstats.com/fight-details/c442899c21d58779, http://www.ufcstats.com/fight-details/4ec249e549309b16, http://www.ufcstats.com/fight-details/abb6e2169ba580d2, http://www.ufcstats.com/fight-details/fce6522f42b48f18",2026-03-18T21:59:39Z,2026-08-08T18:42:54Z
11f86058-c423-58ac-b00e-851a2716da2b,http://www.ufcstats.com/event-details/010986ee359fb863,UFC Fight Night: Ankalaev vs. Walker 2,2024-01-13,completed,"http://www.ufcstats.com/fight-details/f2b407019b2a5c15, http://www.ufcstats.com/fight-details/640f2ae3995b3b4f, http://www.ufcstats.com/fight-details/a8239866e1222eae, http://www.ufcstats.com/fight-details/d0d99889c6abd8e1, http://www.ufcstats.com/fight-details/6f13fe34cb3ca906, http://www.ufcstats.com/fight-details/5f622d812b8f407f, http://www.ufcstats.com/fight-details/03de7404decde12f, http://www.ufcstats.com/fight-details/477c3b9de012e4b3, http://www.ufcstats.com/fight-details/0494ebcee93e717b, http://www.ufcstats.com/fight-details/5344e76e26503716, http://www.ufcstats.com/fight-details/fd29123ff92789e4",2026-03-18T21:59:40Z,2026-08-08T18:42:55Z
0ad8a44b-37d2-5bbb-b18d-7e276dcf53ec,http://www.ufcstats.com/event-details/bd85ca0bb4f26cfc,UFC 297: Strickland vs. Du Plessis,2024-01-20,completed,"http://www.ufcstats.com/fight-details/14e53999507c76a7, http://www.ufcstats.com/fight-details/faf15b752fb8924c, http://www.ufcstats.com/fight-details/97817609ed46baa0, http://www.ufcstats.com/fight-details/ba5005d1116fa45f, http://www.ufcstats.com/fight-details/1a7cd191f0cf160c, http://www.ufcstats.com/fight-details/670e4754d8d3d172, http://www.ufcstats.com/fight-details/331ddc1141e934d1, http://www.ufcstats.com/fight-details/43d90683078fcee5, http://www.ufcstats.com/fight-details/dff2685afd98ed9e, http://www.ufcstats.com/fight-details/a10e2d5416972b9c, http://www.ufcstats.com/fight-details/7736eb6bd5c1ff4a, http://www.ufcstats.com/fight-details/ab105e5a56b5ee90",2026-03-18T21:59:41Z,2026-08-08T18:42:56Z
7e07a29d-5dcd-547c-ab2f-d4719918e8e5,http://www.ufcstats.com/event-details/cce79e827569f26e,UFC Fight Night: Dolidze vs. Imavov,2024-02-03,completed,"http://www.ufcstats.com/fight-details/767ceb4a0cb43ade, http://www.ufcstats.com/fight-details/733e675fd7c0052a, http://www.ufcstats.com/fight-details/af6d56860ba4d259, http://www.ufcstats.com/fight-details/7b1882dc76786d77, http://www.ufcstats.com/fight-details/415ea2520b7ba720, http://www.ufcstats.com/fight-details/330d86bfaa4155fe, http://www.ufcstats.com/fight-details/d4ace70b3661ee6c, http://www.ufcstats.com/fight-details/ca7d61e167d7789c, http://www.ufcstats.com/fight-details/4cff9aeef3ac75c1, http://www.ufcstats.com/fight-details/e1930496b33fa636, http://www.ufcstats.com/fight-details/c28d40498150de90, http://www.ufcstats.com/fight-details/e396c509fb47b037, http://www.ufcstats.com/fight-details/df9847839c73a678",2026-03-18T21:59:42Z,2026-08-08T18:42:58Z
