scraped_at,fight_stat_by_round_id,fight_id,fighter_id,round,total_strikes_landed,total_strikes_attempted,significant_strikes_landed,significant_strikes_attempted,significant_strikes_landed_head,significant_strikes_attempted_head,significant_strikes_landed_body,significant_strikes_attempted_body,significant_strikes_landed_leg,significant_strikes_attempted_leg,significant_strikes_landed_distance,significant_strikes_attempted_distance,significant_strikes_landed_clinch,significant_strikes_attempted_clinch,significant_strikes_landed_ground,significant_strikes_attempted_ground,knockdowns,takedowns_landed,takedowns_attempted,control_time_minutes,control_time_seconds,submissions_attempted,reversals
2026-03-13 16:10:56 UTC,8581cc21-db14-54d3-b8a5-2de5ff1fc552,73254e17-7113-5797-be4e-b8b0c67bd63d,2ec4a27c-c069-5a61-b5b0-07c8724ed755,1,2,2,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
2026-03-13 16:10:56 UTC,7143fbb8-da46-5c93-8403-d7bea4d67652,73254e17-7113-5797-be4e-b8b0c67bd63d,dc224346-6b34-5f22-bd4d-8ab15d31d538,1,1,5,0,4,0,2,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0
2026-03-13 16:10:57 UTC,56da7bc8-ea49-5098-b5ec-218c74509eaa,a78fde51-c281-520a-b6ea-2c7b0b0cf2e6,389d0e9f-c866-521e-aa72-42175d0dc080,1,36,52,34,50,29,45,0,0,5,5,6,8,2,3,26,39,1,0,0,0,0,0,0
2026-03-13 16:10:57 UTC,f2f1a03a-33c7-5a44-ada4-e4c80111d62c,a78fde51-c281-520a-b6ea-2c7b0b0cf2e6,489b5535-0cc1-5474-8a5c-bc97c31a4996,1,4,9,1,5,1,5,0,0,0,0,0,2,0,0,1,3,0,0,1,0,0,0,0
2026-03-13 16:11:00 UTC,03560a93-78e1-5afb-b268-20cbcc3dffda,d22df413-1bce-51d9-af33-42d011f57f1c,e5fe2cc2-267e-5b14-90bf-1a6c1a05a278,1,12,18,12,18,12,18,0,0,0,0,0,0,0,0,12,18,0,1,1,0,0,0,0
2026-03-13 16:11:00 UTC,6bb8a9d2-8380-539b-ba8c-605e383b66b2,d22df413-1bce-51d9-af33-42d011f57f1c,6be681ec-8f35-539d-931b-2581766281fe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13 16:11:06 UTC,3a5acea4-f47e-5664-ada2-d972773c1755,c1d261e2-ef95-5fa5-bf20-22489585be3e,d4f84545-effb-5583-ae5d-9a736ae9742d,1,39,43,13,16,12,15,1,1,0,0,1,2,1,1,11,13,0,2,2,0,0,1,0
2026-03-13 16:11:06 UTC,448cd3cb-cb1d-5703-9360-8c7427b18d01,c1d261e2-ef95-5fa5-bf20-22489585be3e,c0f6c80c-08b5-59a5-b2dd-be865b9f6715,1,20,20,4,4,2,2,0,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
2026-03-13 16:11:08 UTC,e26841d0-ff19-5e4c-9f3f-563580648e49,31db54e3-dfc0-503e-a5cc-ee1e89453172,50a0dc90-e2bd-56de-9215-854596e20a61,1,48,64,21,36,9,23,7,8,5,5,0,11,18,22,3,3,0,0,2,0,0,1,1
2026-03-13 16:11:08 UTC,48ae4536-ba85-529f-a736-6210f0989968,31db54e3-dfc0-503e-a5cc-ee1e89453172,e800e719-6b73-535f-bd58-3fbf4c2c1f28,1,9,11,3,5,3,5,0,0,0,0,0,1,3,4,0,0,0,0,1,0,0,0,0
2026-03-13 16:11:13 UTC,bf1d245a-8564-5a27-bd9c-9a151280f00b,470a4ae3-c720-5557-831c-ce40374b1d38,cc88faf2-55c1-5f94-90b4-eb5c66c50be7,1,28,31,21,24,20,23,1,1,0,0,1,1,0,0,20,23,0,1,1,0,0,0,0
2026-03-13 16:11:13 UTC,0c7bdc02-7e59-5f2a-a495-ba9164e7bc5f,470a4ae3-c720-5557-831c-ce40374b1d38,de690d5e-4563-5d79-9ff2-9b643545a1c8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-13 16:11:14 UTC,26cc4cb0-c9e5-5fb7-a6ee-0b5def0283f4,ebd03d2d-9b07-5e88-959b-b3c90adbd46d,301855b7-1fb2-5d48-b84d-c6ba88c833c2,1,11,15,5,8,4,7,1,1,0,0,0,0,0,0,5,8,0,1,1,0,0,1,0
2026-03-13 16:11:14 UTC,9a1934fe-a10a-5e59-af2e-a110db6f0190,ebd03d2d-9b07-5e88-959b-b3c90adbd46d,e07bd138-230e-5d85-ab64-5b3e36fd6070,1,5,8,0,2,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2026-03-13 16:11:15 UTC,b3241563-fe2f-54b8-a571-290a248ab3f4,147e650e-8456-50b3-868c-f2d722f08b47,01013f8d-c47e-5725-bf28-af055b6c9e66,1,20,34,11,18,8,15,2,2,1,1,3,3,3,5,5,10,0,1,5,0,0,0,1
2026-03-13 16:11:15 UTC,f46adcbc-ed61-5ad8-b72d-4b49aec0cba9,147e650e-8456-50b3-868c-f2d722f08b47,86ad50eb-666c-5812-bbf6-b8e1b7a4017b,1,26,36,12,22,2,10,10,12,0,0,0,6,12,16,0,0,0,1,1,0,0,4,0
2026-03-13 16:11:16 UTC,261abc04-595b-589e-9530-027843e91edd,75eefe92-ce5e-5191-9834-5ebebc8b3da0,b78cd576-92bf-5f17-94eb-03b641c98d9a,1,18,29,6,17,5,16,0,0,1,1,6,13,0,3,0,1,0,0,0,0,0,1,0
2026-03-13 16:11:16 UTC,f4a72c41-7222-53b9-8d08-560e8e94eb05,75eefe92-ce5e-5191-9834-5ebebc8b3da0,6edbb8dc-4390-50e5-a6ca-773f70930e89,1,74,93,12,24,9,21,3,3,0,0,3,6,0,1,9,17,0,3,6,0,0,0,0
