scraped_at,fight_id,event_id,url,fighter_1_id,fighter_2_id,fighter_1_outcome,fighter_2_outcome,bout_type,weight_class,num_rounds,finish_method,primary_finish_method,secondary_finish_method,finish_round,finish_time_minute,finish_time_second,referee,judge_1,judge_2,judge_3
2026-03-13 15:47:54 UTC,ed8a3b62-8a30-5ce3-813d-08a4a2c3a91a,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/6e78d874097a3d22,1e7398a9-772f-5756-b968-b9bf8e6419a8,aa1ccfcd-2847-58e0-b1b2-878ab573b57a,L,W,Women's Flyweight Bout,flyweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Jeff Rexroad,Jacob Montalvo,Junichiro Kamijo,Ryan Thompson
2026-03-13 15:47:55 UTC,f9d81274-4a81-5b44-92a7-acd977709eba,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/5b97f47cdd355cbe,6a34b301-865f-5994-a7e5-cb03230ba6c2,44729fb0-6059-556f-a461-d5ee652dbc60,W,L,Featherweight Bout,featherweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Kerry Hatley,Sal D'amato,Ryan Thompson,Chris Lee
2026-03-13 15:47:56 UTC,0a6a9976-1191-5b90-bccc-a6bec36382c6,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/508e622130b0a84d,76f2a31c-6632-5201-a77a-f3a609e286da,183d3f65-0f84-57f0-9bb9-32400e20e5fb,L,W,Welterweight Bout,welterweight,3,Decision - Split,decision,split,3,5,0,Herb Dean,Jacob Montalvo,Jeff Rexroad,Ryan Thompson
2026-03-13 15:47:57 UTC,1f4e9078-acfe-578c-b9c4-d19c0545ac5b,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/8f9896e60047007f,74a68e93-6e51-569a-a3b8-a4c058935760,012659c9-4954-5740-9d91-c7d0b082eae3,L,W,Welterweight Bout,welterweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Dan Miragliotta,Sal D'amato,Junichiro Kamijo,Chris Lee
2026-03-13 15:47:58 UTC,98b4d30b-7a32-588e-a65c-cb263b2366fd,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/fd56a469e4589ebc,8f376dcf-34a9-5d3a-97fd-6fcf5cbbb442,a2857ebc-ab7d-52fe-ac89-1c320c52e7bf,L,W,Women's Bantamweight Bout,bantamweight,2,Submission,submission,rear naked choke,2,2,44,Jacob Montalvo,,,
2026-03-13 15:47:59 UTC,f48a5d3d-e744-5f9e-87bf-954799f8fc37,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/ac39c1f00ae31e58,376a38d6-f109-51c9-8178-f6abe5269171,9241fbb1-b4fc-5596-b8ad-7f374311f788,W,L,Flyweight Bout,flyweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Jeff Rexroad,Ryan Thompson,Junichiro Kamijo,Chris Lee
2026-03-13 15:48:00 UTC,5c2d0b0c-8f6d-5fb8-806a-b4ea66721439,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/7ffdaa44fc8d111b,1e29c3ed-34a3-5085-a5ac-857663042855,57d676b2-43e9-5700-ba1d-1e0041ed72b0,L,W,Flyweight Bout,flyweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Dan Miragliotta,Ryan Thompson,Sal D'amato,Junichiro Kamijo
2026-03-13 15:48:03 UTC,0363b491-bb1d-5767-ad1b-40d846d901fd,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/202d3277e569ad03,cc08d7e7-3dda-5a30-bb64-9f59e9136e5e,658b15ad-1fd1-5484-8101-2abc08eef1b6,L,W,Welterweight Bout,welterweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Kerry Hatley,Junichiro Kamijo,Jeff Rexroad,Chris Lee
2026-03-13 15:48:04 UTC,4cc3e189-efda-5807-a787-3785ae9bd48f,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/372d1dee0db8dbee,e2afade8-c976-5168-872b-c43e98b80c7e,0f7d68b9-70e2-5b54-8358-e88b8c1d0ace,L,W,Middleweight Bout,middleweight,3,Decision - Split,decision,split,3,5,0,Herb Dean,Jacob Montalvo,Ryan Thompson,Chris Lee
2026-03-13 15:48:06 UTC,ca2f5747-2a28-5bec-b65b-f974c04d2519,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/54437b8dba3a6110,6b9eab40-37ab-5d89-9a51-dcce3fa41358,5d794318-39ab-5c52-85d5-2d5107f06920,W,L,Welterweight Bout,welterweight,1,KO/TKO,ko/tko,punches to head from side control,1,3,1,Kerry Hatley,,,
2026-03-13 15:48:09 UTC,8fa38453-5d48-599b-9d5f-d5845afe188c,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/04b7bcc0e8488604,ceffeffd-40ed-5ba8-9ba2-28c1f982e5f0,696053ca-59f1-5176-94fc-e1ca32a0bf96,W,L,Heavyweight Bout,heavyweight,3,Decision - Unanimous,decision,unanimous,3,5,0,Dan Miragliotta,Jeff Rexroad,Junichiro Kamijo,Chris Lee
2026-03-13 15:48:10 UTC,7e114c56-4565-5298-903c-9d8ae7b73925,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/dc6f6c8228390ebb,cd320a8b-729d-5932-a8c4-ceefb3beb0fb,2944c746-7ab7-50b6-a656-abad39141c33,L,W,Featherweight Bout,featherweight,1,KO/TKO,ko/tko,spinning back kick head,1,4,56,Jacob Montalvo,,,
2026-03-13 15:48:12 UTC,929125c0-16b9-5bbe-8048-16cf7c4e8b49,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/dd12bf51c5ed7f1e,dc6dd2e2-c348-543b-8530-df481bf20cd8,5d79cfa7-6f44-52d3-aa0c-e66b5f6f6955,L,W,Welterweight Bout,welterweight,1,KO/TKO,ko/tko,punch to head at distance,1,1,19,Kerry Hatley,,,
2026-03-13 15:48:13 UTC,a64b0ca1-fedd-5b59-8d6f-fb6ad7e5a8e8,58184674-5252-5dc2-966c-4f49ab87af33,http://www.ufcstats.com/fight-details/8d740c844353ae0e,f6ce62bb-1b53-561c-9bdf-5cb8e014e053,407912df-949c-53f4-a8fd-1b46d7bc5a73,W,L,Middleweight Bout,middleweight,3,KO/TKO,ko/tko,punches to head on ground,3,2,23,Herb Dean,,,
